event,date_or_rule,sec,notes
FY_start,April 1,,Indian fiscal year start
FY_end,March 31,,Indian fiscal year end
advance_tax_q1,15 June,211,15% of estimated annual liability
advance_tax_q2,15 September,211,45% cumulative
advance_tax_q3,15 December,211,75% cumulative
advance_tax_q4,15 March,211,100% cumulative
ITR_due_individual_no_audit,31 July of AY,,"e.g. for FY 2024-25 = AY 2025-26, due 31 July 2025"
ITR_belated_or_revised,31 December of AY,,Late ITR allowed but with penalty + loss of carry-forward
ITR_updated_ITRU,24 months after AY end,,Allows fixing missed income at extra tax
form16_issued_by,15 June,,Employer must issue Form 16 by this date
TDS_threshold_bank_interest,40000_per_year,194A,"50,000 for senior citizens"
TDS_threshold_FD_interest,40000_per_branch,194A,"Each branch separately - common tax leak"
TDS_threshold_dividends,5000_per_year,194,Per company
234B_interest,1pct_per_month_from_April,234B,Interest if advance tax shortfall > 10% of total liability
234C_interest,1pct_per_month_for_missed_installment,234C,Per missed instalment
