instrument,full_name,lock_in_years,annual_min_inr,annual_max_inr,current_rate_pct,rate_set_by,tax_status,80c_eligible,key_feature
PPF,Public Provident Fund,15,500,150000,7.1,Min of Finance (DEA) quarterly,EEE,yes,15-yr lock-in extendable in 5-yr blocks. Spouse + each minor child can have separate PPF.
EPF,Employees Provident Fund,until_retirement,21600,no_cap,8.25,EPFO yearly,EEE_to_2.5L,yes,12% employee + 12% employer (split 3.67% EPF + 8.33% EPS). Above 2.5L/yr contribution interest taxable.
VPF,Voluntary Provident Fund,until_retirement,0,no_cap,8.25,EPFO yearly,EEE_to_2.5L,yes,Top-up to EPF. Same rate.
NPS_Tier1,National Pension System Tier-I,until_60,1000,no_cap,market_linked,user_chooses_PFM_and_allocation,EET_partial,yes,"Tier-I locked till 60. At 60: 60% lump sum tax-free, 40% mandatory annuity (annuity income at slab)."
NPS_Tier2,National Pension System Tier-II,0,1000,no_cap,market_linked,user_chooses_PFM,debt_mf_like,no,Liquid NPS - treated like a debt MF for tax. No lock-in.
SSY,Sukanya Samriddhi Yojana,21_or_marriage,250,150000,8.2,Min of Finance quarterly,EEE,yes,Girl child below age 10 only. Higher rate than PPF.
SCSS,Senior Citizens Savings Scheme,5,1000,3000000,8.2,Min of Finance,interest_taxable_at_slab,yes,Age >= 60 (or 55 with VRS). Interest paid quarterly - taxable at slab.
NSC,National Savings Certificate,5,1000,no_cap,7.7,Min of Finance,interest_taxable_at_slab,yes,Annual interest reinvested counts as 80C deduction (years 1-4). Maturity interest taxable.
Tax_FD,Tax-saving Fixed Deposit,5,1000,150000,6.5_to_7.5,bank,interest_taxable_at_slab,yes,5-yr lock-in. Interest fully taxable. Worse than PPF unless you specifically want bank deposit insurance.
ELSS,Equity-Linked Savings Scheme,3,500,150000,market_linked,fund_manager,equity_LTCG,yes,Lowest lock-in among 80C options. Equity tax treatment (12.5% LTCG above 1.25L/FY exempt).
